ID,Size,Predicted,Actual
0,12,0.000000,NO
1,1,0.000869,NO
2,1,0.000000,NO
3,1,0.000869,NO
4,1,0.000000,NO
5,1,0.000869,NO
6,1,0.000000,NO
7,15,0.000000,NO
8,1,0.000869,NO
9,1,0.000000,NO
10,1,0.000869,NO
11,1,0.000000,NO
12,1,0.000869,NO
13,1,0.000000,NO
14,1,0.000869,NO
15,1,0.000000,NO
16,1,0.000869,NO
17,1,0.000000,NO
18,6,0.000000,NO
19,34,0.000000,NO
20,14,0.000000,NO
21,1,0.000869,NO
22,26,0.010000,NO
23,1,0.000869,NO
24,1,0.000869,NO
25,1,0.000869,NO
26,1,0.000869,NO
27,1,0.000869,NO
28,1,0.000869,NO
29,1,0.000869,NO
30,1,0.000869,NO
31,1,0.000869,NO
32,1,0.000869,NO
33,1,0.000869,NO
34,1,0.000869,NO
35,1,0.000869,NO
36,1,0.000869,NO
37,1,0.000869,NO
38,1,0.000000,NO
39,19,0.070000,NO
40,1,0.000000,NO
41,1,0.000000,NO
42,1,0.000869,NO
43,1,0.000869,NO
44,1,0.000869,NO
45,1,0.000869,NO
46,1,0.000869,NO
47,1,0.000869,NO
48,1,0.000869,NO
49,1,0.000869,NO
50,1,0.000869,NO
51,1,0.000869,NO
52,1,0.000869,NO
53,1,0.000869,NO
54,1,0.000869,NO
55,1,0.000869,NO
56,1,0.000869,NO
57,1,0.000869,NO
58,1,0.000869,NO
59,1,0.000869,NO
60,1,0.000869,NO
61,1,0.000869,NO
62,1,0.000869,NO
63,1,0.000869,NO
64,1,0.000000,NO
65,1,0.000000,NO
66,19,0.000000,NO
67,1,0.000000,NO
68,1,0.000869,NO
69,1,0.000869,NO
70,1,0.000869,NO
71,1,0.000869,NO
72,1,0.000869,NO
73,1,0.000869,NO
74,1,0.000869,NO
75,1,0.000869,NO
76,1,0.000869,NO
77,1,0.000869,NO
78,1,0.000000,NO
79,6,0.003333,NO
80,1,0.000000,NO
81,0,0.000000,NO
82,0,0.000000,NO
83,0,0.000000,NO
84,0,0.000000,NO
85,0,0.000000,NO
86,0,0.000000,NO
87,0,0.000000,NO
88,0,0.000000,NO
89,0,0.000000,NO
90,0,0.000000,NO
91,0,0.000000,NO
92,0,0.000000,NO
93,0,0.000000,NO
94,0,0.000000,NO
95,0,0.000000,NO
96,0,0.000000,NO
97,0,0.000000,NO
98,0,0.000000,NO
99,0,0.000000,NO
100,0,0.000000,NO
101,0,0.000000,NO
102,0,0.000000,NO
103,0,0.000000,NO
104,0,0.000000,NO
105,0,0.000000,NO
106,0,0.000000,NO
107,0,0.000000,NO
108,0,0.000000,NO
109,0,0.000000,NO
110,0,0.000000,NO
111,0,0.000000,NO
112,0,0.000000,NO
113,0,0.000000,NO
114,0,0.000000,NO
115,0,0.000000,NO
116,0,0.000000,NO
117,0,0.000000,NO
118,0,0.000000,NO
119,0,0.000000,NO
120,0,0.000000,NO
121,0,0.000000,NO
122,0,0.000000,NO
123,0,0.000000,NO
124,0,0.000000,NO
125,0,0.000000,NO
126,0,0.000000,NO
127,0,0.000000,NO
128,0,0.000000,NO
129,0,0.000000,NO
130,0,0.000000,NO
131,0,0.000000,NO
132,0,0.000000,NO
133,0,0.000000,NO
134,0,0.000000,NO
135,0,0.000000,NO
136,0,0.000000,NO
137,0,0.000000,NO
138,0,0.000000,NO
139,0,0.000000,NO
140,0,0.000000,NO
141,0,0.000000,NO
142,0,0.000000,NO
143,0,0.000000,NO
144,0,0.000000,NO
145,0,0.000000,NO
146,0,0.000000,NO
147,0,0.000000,NO
148,0,0.000000,NO
149,0,0.000000,NO
150,0,0.000000,NO
151,0,0.000000,NO
152,0,0.000000,NO
153,1,0.000000,NO
154,1,0.000000,NO
155,1,0.000000,NO
156,1,0.000000,NO
157,1,0.000000,NO
158,1,0.000000,NO
